word	F	Ao	Ez		
dom	1	1	0		
domages	1	1	0		
doné	1	1	0		
Dont	1	1	0		
dosor	1	1	0		
dotance	1	1	0		
doter	1	1	0		
doteroit	1	1	0		
doucement	1	1	0		
douz	1	1	0		
droites	1	1	0		
duel	1	1	0		
durs	1	1	0		
dut	1	1	0		
efforce	1	1	0		
Eglyse	1	1	0		
eise	1	1	0		
eive	1	1	0		
els	1	1	0		
em	1	1	0		
emploiee	1	1	0		
ençois	1	1	0		
encon	1	1	0		
encontra	1	1	0		
enflez	1	1	0		
enforcier	1	1	0		
enmi	1	1	0		
enpirent	1	1	0		
enpoint	1	1	0		
enprendre	1	1	0		
enseignié	1	1	0		
enseignier	1	1	0		
enseigniez	1	1	0		
ensin	1	1	0		
entailliee	1	1	0		
entor	1	1	0		
entremete	1	1	0		
entrent	1	1	0		
enveia	1	1	0		
envie	1	1	0		
environ	1	1	0		
envoier	1	1	0		
eroiz	1	1	0		
errer	1	1	0		
ert	1	1	0		
es	1	1	0		
esbahie	1	1	0		
eschever	1	1	0		
escondire	1	1	0		
escondiroie	1	1	0		
escuier	1	1	0		
escuz	1	1	0		
esgardoient	1	1	0		
esgardoiz	1	1	0		
esgart	1	1	0		
eslection	1	1	0		
eslut	1	1	0		
esmeré	1	1	0		
esmerez	1	1	0		
espandue	1	1	0		
espant	1	1	0		
Espee	1	1	0		
esperitelment	1	1	0		
espoanter	1	1	0		
espooir	1	1	0		
esprové	1	1	0		
essaiee	1	1	0		
essaucier	1	1	0		
essoigne	1	1	0		
essuie	1	1	0		
establer	1	1	0		
establi	1	1	0		
establies	1	1	0		
establirent	1	1	0		
este	1	1	0		
ester	1	1	0		
estez	1	1	0		
estiez	1	1	0		
estoquant	1	1	0		
estraiz	1	1	0		
Estrangot	1	1	0		
estrier	1	1	0		
esveillast	1	1	0		
esveillié	1	1	0		
eüe	1	1	0		
eust	1	1	0		
eüstes	1	1	0		
Evangile	1	1	0		
f	1	1	0		
façons	1	1	0		
faisant	1	1	0		
faissel	1	1	0		
faissiaus	1	1	0		
faite	1	1	0		
fait-il	1	1	0		
fame	1	1	0		
faz	1	1	0		
felonesses	1	1	0		
feroie	1	1	0		
feroit	1	1	0		
feroiz	1	1	0		
ferue	1	1	0		
fiers	1	1	0		
fiert	1	1	0		
Filistiens	1	1	0		
fiz	1	1	0		
flichie	1	1	0		
Floudehueg	1	1	0		
foible	1	1	0		
foiee	1	1	0		
fole	1	1	0		
fontaine	1	1	0		
forree	1	1	0		
forrez	1	1	0		
fox	1	1	0		
frains	1	1	0		
fuerres	1	1	0		
fuie	1	1	0		
fuiez	1	1	0		
fuioient	1	1	0		
fusse	1	1	0		
fussient	1	1	0		
fussiez	1	1	0		
fustes	1	1	0		
fuz	1	1	0		
gaite	1	1	0		
Galahaz	1	1	0		
Gales	1	1	0		
Galesche	1	1	0		
galoz	1	1	0		
garantisse	1	1	0		
garantissierres	1	1	0		
garantist	1	1	0		
garantiz	1	1	0		
garanz	1	1	0		
garçons	1	1	0		
garder	1	1	0		
gas	1	1	0		
Gasoains	1	1	0		
Gaule	1	1	0		
Gauvain	1	1	0		
gent	1	1	0		
gentillece	1	1	0		
germain	1	1	0		
giete	1	1	0		
gisant	1	1	0		
gisiez	1	1	0		
gisoit	1	1	0		
gitee	1	1	0		
Golorre	1	1	0		
graisse	1	1	0		
grandor	1	1	0		
Grant	1	1	0		
Granz	1	1	0		
granzdismes	1	1	0		
Gravadain	1	1	0		
grever	1	1	0		
grevera	1	1	0		
greveus	1	1	0		
greveuse	1	1	0		
Gros	1	1	0		
grosse	1	1	0		
guerredom	1	1	0		
guinple	1	1	0		
haïr	1	1	0		
hardement	1	1	0		
haster	1	1	0		
hastez	1	1	0		
hauberz	1	1	0		
hautes	1	1	0		
Helais	1	1	0		
herbergiez	1	1	0		
hernois	1	1	0		
het	1	1	0		
hiaumes	1	1	0		
honor	1	1	0		
honoree	1	1	0		
honteusse	1	1	0		
honteussement	1	1	0		
hores	1	1	0		
Hosselice	1	1	0		
huevres	1	1	0		
huis	1	1	0		
ici	1	1	0		
iert	1	1	0		
illuec	1	1	0		
iluec	1	1	0		
ira	1	1	0		
irai	1	1	0		
Ircamiens	1	1	0		
iroie	1	1	0		
iroiz	1	1	0		
isniaus	1	1	0		
Israel	1	1	0		
issir	1	1	0		
issirent	1	1	0		
issue	1	1	0		
ist	1	1	0		
it	1	1	0		
itex	1	1	0		
ivoire	1	1	0		
j	1	1	0		
Jhesu	1	1	0		
Jhesus	1	1	0		
joignoit	1	1	0		
joinchiee	1	1	0		
Joseph	1	1	0		
Judas	1	1	0		
juesdi	1	1	0		
jurt	1	1	0		
jus	1	1	0		
jusque	1	1	0		
jusques	1	1	0		
jut	1	1	0		
Kex	1	1	0		
laidamgiee	1	1	0		
lairoiz	1	1	0		
laisseroiz	1	1	0		
laissiees	1	1	0		
laissiez	1	1	0		
lait	1	1	0		
Lanbegues	1	1	0		
larrons	1	1	0		
Lawenor	1	1	0		
legierement	1	1	0		
leial	1	1	0		
leiaute	1	1	0		
lermes	1	1	0		
lerres	1	1	0		
Les	1	1	0		
leus	1	1	0		
leva	1	1	0		
lez	1	1	0		
liez	1	1	0		
lignages	1	1	0		
Listenois	1	1	0		
lit	1	1	0		
Lo	1	1	0		
lons	1	1	0		
lou	1	1	0		
Lucanz	1	1	0		
Macabrez	1	1	0		
maintenant	1	1	0		
maintes	1	1	0		
maintiens	1	1	0		
maintindrent	1	1	0		
mainz	1	1	0		
maisniee	1	1	0		
maistre	1	1	0		
malades	1	1	0		
manbres	1	1	0		
mande	1	1	0		
manuscrit	1	1	0		
mardis	1	1	0		
matinee	1	1	0		
matinet	1	1	0		
mausfaisanz	1	1	0		
maxfaisierres	1	1	0		
maxfaissanz	1	1	0		
maxfaitors	1	1	0		
meismes	1	1	0		
menbres	1	1	0		
mentir	1	1	0		
menues	1	1	0		
mervoile	1	1	0		
mescreant	1	1	0		
Messires	1	1	0		
metez	1	1	0		
metrai	1	1	0		
mi	1	1	0		
misericorde	1	1	0		
mises	1	1	0		
mois	1	1	0		
moitié	1	1	0		
mole	1	1	0		
molt	1	1	0		
montast	1	1	0		
monterent	1	1	0		
mortel	1	1	0		
mosirer	1	1	0		
mostrez	1	1	0		
movrai	1	1	0		
movrons	1	1	0		
muet	1	1	0		
muevent	1	1	0		
mut	1	1	0		
naie	1	1	0		
naist	1	1	0		
nasquié	1	1	0		
negiee	1	1	0		
neianz	1	1	0		
nelui	1	1	0		
Nenil	1	1	0		
Neporqant	1	1	0		
neporquant	1	1	0		
nomez	1	1	0		
nons	1	1	0		
norri	1	1	0		
norrissoit	1	1	0		
nostre	1	1	0		
novelle	1	1	0		
noviau	1	1	0		
ocianz	1	1	0		
ocist	1	1	0		
Oëz	1	1	0		
oiance	1	1	0		
oïe	1	1	0		
